lemma,entry,definition,dcc
"-ne","-ne","(introduces a direct `yes' or `no' question)","false"
"-que","-que","and","false"
"a","ā, ab, abs","from, away from; by","false"
"ab","ab","see \textit{ā}","false"
"aberro","aberrō (1)","wander away, get lost; wander from one's subject, digress; depart from, differ from; vary","false"
"abstineo","abstineō, abstinēre, abstinuī, abstentum","keep back, keep away, keep off; hold back, restrain; abstain from food or drink, fast","false"
"abutor","abūtor, abūtī, abūsus sum"," use up, consume, exhaust; make full use of, utilize; put to a wrong use, misapply, abuse, misuse","false"
"accipio","accipiō, accipere, accēpī, acceptum","take in one's grasp, receive; take into one's possession or control; have given to one, acquire, get","false"
"accuro","accūrō (1)","give attention to, perform with care; take care (that), see to it (that); attend to, take care of","false"
"actio","actiō, actiōnis, f.","a doing, activity, action; act, deed; proposal, measure, course of action, policy","false"
"ad","ad","towards, to, up to; near; to (a point in time), until","false"
"addo","addō, addere, addidī, additum","put or fit (onto), attach (to), place (along with); add onto, pile (on top of); add, attach; apply","false"
"adeo","adeo"," to (such) a high degree, to (such) a great extent, (so) very, extremely; to the point or place (where); to such a pass; (after a negative) so much, so very much, all that much","false"
"adhuc","adhuc"," until now, as yet, up to the present time; up to that time; (in a negative phrase) so far, (as) yet; still","false"
"admitto","admittō, admittere, admīsī, admissum","(of visitors, etc.) let come, admit, give access, receive; admit, endure, tolerate; grant access (to), allow (to); permit, allow, sanction; agree to, accept, receive; let go, let loose, relsease","false"
"admoneo","admoneō (2)","remind (of or that), remind (a person) about (something), put in mind of; give advice to, advise, urge, bid; prompt, admonish; caution, warn, admonish; apprise of, inform, advise (that)","false"
"admoveo","admoveō, admovēre, admōvī, admōtum"," move (something) near (to), bring (something) near (to), bring (something) into contact with; move towards; move up, bring up, bring near; move, lead, guide (someone or something) towards","false"
"adsum","adsum, adesse, adfuī, adfutūrum","to be at, be present, be at hand, be here; attend, be present (at a meeting, gathering, etc.)","false"
"adverto","advertō, advertere, advertī, adversum","turn or direct towards; direct, steer, guide; give ear to, pay attention, notice, see, give heed (to); remark, ascertain, discover","false"
"aequus","aequus, aequa, aequum","flat, even, level; favorable, convenient, advantageous; equal, like, alike; fair, just, reasonable, right; impartial, fair-minded","false"
"aer","āër, āëris, m.","air; the atmosphere, air surrounding the earth; sky, heavens","false"
"aetas","aetās, aetātis, f.","one's age, the number of years one has lived; the age (of anything); period or time of life; an age group, people of a particular age; lifetime, years, the span of one's life","false"
"aether","aethēr, aetheris, m.","upper regions of sky, heaven, the ether; the air, the sky","false"
"affero","afferō, afferre, attulī, allātum","bring, fetch, carry, convey; confer, bestow, add, contribute; put forward, contribute, offer, recommend; lead, conduct, bring forward","false"
"affirmo","affirmō (1)","assert strongly, maintain with certainty, affirm, swear, promise; support, corroborate (a statement or fact)","false"
"aggredior","aggredior, aggredi, aggressus sum","go or advance (towards), approach; assault, attack, assail; confront; set about, start on, undertake (a task, a job, etc.); attempt, proceed, begin (+ infinitive)","false"
"agnosco","agnoscō, agnoscere, agnōvī, agnitum","recognize, know again, identify; acknowledge as one's own, recognize as one's own; admit to, claim; admit liability for, become responsibile for; acknowledge, appreciate","false"
"ago","agō, agere, ēgī, āctum","drive, set in motion; ride; bring, carry, bear; force to move, drive; force, push, throw; give off, emit, send forth; do, perform, achieve, accomplish","false"
"albedo","albēdō, albēdinis, f.","white color, whiteness, white (non-classical)","false"
"alienus","aliēnus, aliēna, aliēnum","of another, belonging to another, not one's own; foreign, alien; strange, unusual, unnatural","false"
"aliquamdiu","aliquamdiū","for some time, for a considerable time; for a while","false"
"aliquandiu","aliquandiū","see \textit{aliquamdiū}","false"
"aliqui","aliquī, aliqua, aliquod","(indefinite adj.) some, some or other, a; any at all, any whatsoever, a single; a kind of, a sort of; of some (extent, degree, amount), a certain amount of, some; (pl.) a certain number of, at least some, a few; some sort of, some kind of","false"
"aliquis","aliquis, aliqua, aliquid","(indefinite pronoun) some one, any one, anybody; something, anything; (pl.) some, a few, a number","false"
"aliquot","aliquot","a number of, several, some","false"
"aliter","aliter","otherwise, in another way, in another manner, differently","false"
"alius","alius, alia, aliud","another, other, a different; a further, another; (multiple forms in same case) some\dots others; (multiple forms in different cases) one\dots another; (pl.) (the) rest, (the) others","false"
"alligo","alligō (1)","tie, bind, fasten (one thing to another); secure, fasten together, tie up; bond, unite, hold together; put in chains, restrain; immobilize, pin down","false"
"alo","alō, alere, aluī, al(i)tum","feed, nourish; support, sustain, maintain, nurture; rear, bring up, raise","false"
"alter","alter, altera, alterum","a second, a further, one other, other; the second, the next; (with negation) either (of two); (referring to more than two) some other, another, other","false"
"amens","āmēns, āmentis","out of one's senses, insane, demented, out of one's mind; frantic, distracted, very excited","false"
"amitto","āmittō, āmittere, āmīsī, āmissum","send away, dismiss, part with; give up, abandon; pass over, forgive; fail to catch or hold, miss, let slip; let go, lose sight of, lose track of; incur the loss of, forfeit, lose","false"
"amplus","amplus, ampla, amplum","having ample size, bulk, or extent; large, spacious, ample; impressive in size and appearance, magnificent; great, extensive, powerful, intense; distinguished, eminent, great, impressive; comprehensive, all-embracing, large, full, unrestricted","false"
"an","an","(introducing direct questions, often with an added notion of surprise, indignation, or strong feeling) Can it really be that\dots ? Is it really the case that\dots ?; (introducing a possible answer to a question just asked) Or\dots? Is it\dots?, but often best untranslated; (introducing continuations of multiple questions) or; (in an indirect question) whether, if; \textit{haud scio an} I am inclined to think, probably","false"
"anima","anima, animae, f.","air, breath; life, soul","false"
"animaduerto","animaduertō, animadvertere, animadvertī, animadversum","direct the mind towards; pay attention to, attend to, heed; become aware of, observe, notice; judge, appraise, estimate; censure, criticize, find fault with","false"
"animal","animal, animālis, n.","a living being, animal; (sometimes) non-human animal","false"
"animus","animus, animī, m.","mind (as opposed to body), soul; mind, consciousness, intelligence, spirit; design, purpose, intention; will, desire; (usually plural) anger, animosity; courage, pride, spirit, morale; disposition, character","false"
"annus","annus, annī, m.","a year, twelve months; (pl.) age","false"
"ante","ante","\textit{adverb} in front, in front of one; before, in advance, ahead; (with difference in time expressed by ablative or accusative) before this, ago","false"
"ante","ante","\textit{preposition with accusative} before, in front of; before (a time), by; (before in preference or rank) above, more than","false"
"antehac","antehāc","before this time, un until now, previously; in the past, before now","false"
"aperio","aperiō, aperīre, aperuī, apertum","open, open up; clear, open, repair; uncover, lay bare, reveal; make available or possible, put at one's disposal","false"
"appareo","appāreō (2)","appear, to be clear, to be evident; come to hand, turn up; come into sight, appear","false"
"appello","appellō (1)"," address, speak to, accost; appeal to (for help), call on, beseech, apply to; name, call by name","false"
"applico","applicō (1)","bring (something) into contact with (something else), lean (something) against (another thing); fit on, attach; bring to bear (on), apply (to); assign, set; accomodate, adapt","false"
"aptus","aptus, apta, aptum","composed, fitted together; tied, fastened, bound; associated, connected; prepared, equipped, ready; handy, convenient, suitable for use, useful; efficient, good at, fitted for, able to","false"
"apud","apud","(preposition with the accusative) at, near, in the area of, close to, next to, by, besides; among, in the presence of; at the house of, at the residence of","false"
"arbitror","arbitror (1)","observe, notice, witness; judge, decide; consider, reckon; think, judge, imagine, be of the opinion","false"
"Archimedes","Archimēdēs, Archimēdis, m.","famous mathematician and inventor of the third century BCE","false"
"argumentum","argūmentum, argūmentī, n.","proof, argument, process of reasoning; conclusion based on inference, deduction; motive, basis, reason; narrative, story","false"
"arithmetica","arithmētica, arithmēticae, f.","arithmetic; science or study of arithmetic","false"
"articulus","articulus, articulī, m.","a joint (of a limb, a finger, or a toe); a knuckle; limb, member, finger; a juncture, critical moment, point in time; clause, section","false"
"aspicio","aspiciō, aspicere, aspexī, aspectum","catch sight of, observe, notice; look at, look upon, behold, gaze upon; examine, inspect, look over; perceive, appreciate, see (mentally); think about, consider, investigate","false"
"assensio","assēnsiō, assēnsiōnis, f.","approval, approbation, applause; assent (to the truth of an idea, statement, proposition), agreement; belief","false"
"assentior","assentior, assentīrī, assēnsus sum","agree in opinion, assent, approve; admit the truth of, agree","false"
"assequor","assequor, assequī, assecūtus sum","follow, go after; overtake, catch up to; come upon; attain (to), acquire, achieve, win; succeed in bringing about, achieve","false"
"assevero","assevērō (1)","declare, affirm, assert emphatically; proclaim","false"
"assideo","assideō, assidēre, assēdī, assessum","sit by, sit near; sit in council, be present in court; sit beside, watch over; camp near; besiege; dwell close (to), adjoin, be situated (near)","false"
"assidue","assiduē","continually, regularly, constantly","false"
"assigno","assignō (1)","allot, apportion, distribute as a portion, allocate, assign; award, confer, bestow; ascribe, impute, put down to (someone)","false"
"assumo","assūmō, assūmere, assūmpsī, assūmptum","take or use as an addition, insert, add; take possession of, make one's own, take; acquire, gain, take on, take up; adopt, take; derive, draw, borrow; take for granted, assume","false"
"astronomia","astronomia, astronomiae, f.","astronomy, the science of the heavenly bodies","false"
"at","at","but; however, on the other hand (\textit{at} marks a stronger contrast than \textit{sed})","false"
"ater","āter, ātra, ātrum","black, dark-colored; devoid of light, dark; discolored, stained; sordid, squalid; black and blue, bruised; unlucky, ill-omened","false"
"atque","atque","and; and also, and what is more; and in fact, and even","false"
"atqui","atquī","but, and yet, nevertheless; all the same","false"
"attendo","attendō, attendere, attendī, attentum","pay attention, be attentive; listen carefully, pay close attention to; examine or study closely; look into carefully","false"
"attingo","attingō, attingere, attigī, attactum","touch, make contact with; lay a hand on, assault, attack; be contiguous to, be next to, adjoin; reach, stretch as far as; touch, reach, make contact with, strike; attack, afflict, affect; reach, arrive at, enter; attain","false"
"audio","audiō (4)","hear; listen to","false"
"augeo","augeō, augēre, auxī, auctum","increase, enlarge, extend, swell, make larger; increase in value or amount; raise, cause to grow, make grow; stengthen, make stronger; help, assist; equip, furnish, provide","false"
"aut","aut","or (usually used to introduce exclusive alternatives); \textit{aut\dots aut} either\dots or","false"
"autem","autem","(almost always postpositive) on the other hand, while; but; moreover, also, too, furthermore; and in fact, and indeed","false"
"author","author, authoris, m.","(non-classical equivalent for \textit{auctor, auctōris}) person with power or authority in some situation; vendor, seller; guarantor; witness; authority, spokesperson; advocate, supporter; author, creator, source","false"
"automatum","automatum, automatī, n.","(sometimes \textit{automaton} in the singular nominative and accusative) automaton, a machine","false"
"avoco","āvocō (1)","call off, call away, summon away; take away, withdraw; turn aside, divert; dissuade, divert; distract, interrupt","false"
"bilis","bīlis, bīlis, f."," bile, fluid secreted by the liver; anger, ill temper, spleen; madness, insanity","false"
"blandus","blandus, blanda, blandum","charming, ingratiating, attractive (influencing others by flattery, coaxing, etc.); winning, persuasive, propitiatory; alluring, seductive; insincere, fawning; gentle, tame, affectionate; calm, gentle; pleasing, sweet, soft","false"
"bonitas","bonitās, bonitātis, f.","moral excellence, good behavior, excellence; kindness, benevolence, generosity; goodness, excellence, good quality","false"
